idx,repository,head hash,tree fingerprint,head test result,explanation
1997,bukkit/bukkit,f210234e59275330f83b994e199c76f6abd41ee7,69d10891efc0ec20c8bc6ebec08bbef1e6ef7f13ad6ab38890fa8bbc7ff9ab2e,Tests_passed,
2042,bytedeco/javacpp,2d03a8d76cacae4cfd76eb7873b2416afcb2d2de,f13b51e7433cdf9da4fb480be47821103b17c4f1f350e4c8d2a078235e86d7e2,Tests_passed,
2043,bytedeco/javacv,6ce2032ed0e01b5455bc3db483758f597555534b,1b83642e817bf1acd02d734a5af70b5ab2d3e5ee3aafbb3a9e8700e79f1057c0,Tests_passed,
2072,calebfenton/simplify,29fb25d624aecf0b075dea5c6029b2541474ddfe,100ad2d96ba4535f3223dc1763d4b31f66ae61d66f0e38d5305094cb17a9a503,Tests_passed,
2120,caoxinyu/redisclient,0f72f3de3c4790066d5d06f5049a3622861118da,ce99b983da20b034065d9bcfc96e7c484581dac599e5784ec5b973da636cee0c,Tests_passed,
2237,cglib/cglib,5c947539c1218dc4ff1a14a7c36b4856b0ee6397,e0a37138db865657065c4e8cd9bf6d3cc1333434238c969436c40b0e8b327960,Tests_passed,
2495,clojure/clojure,08a2d9bdd013143a87e50fa82e9740e2ab4ee2c2,0b323db65e4339e9ae1bd7c421dbe708a370cdcee407e4b0222fad907eb57599,Tests_passed,
2497,clojure/core.async,322adc72852bb79c143ebe5d203d100534fda8f2,20b5d419e0288fe0ebbaa98f2a853f5b2352f326cd857a4d67e082e3fc53ad54,Tests_passed,
2572,code4craft/webmagic,67644de3d9540611ef494f4bb595688a47a541a6,dcb6e5e207caa76580c872951f8a783200816a791ac9fea41098f1769212d341,Tests_passed,
2577,codecentric/spring-boot-admin,ea26664a23045a30a22984c17a9f1d5eef521a0e,929e6ed3b49aa3cdeb1e750dd7bbbbcdd639ecfacdb7114a61a89b406aa5834e,Tests_passed,
2623,cognitect-labs/transducers-js,f21cb186b6163697fe3c8c6d98125c6f66cb7632,23965c25701b27983e889db281dec7bd8e25d676249dc49868cf137cd0b4ad8f,Tests_passed,
2624,cognitect/transit-format,3f7f70180ee6930841190788dae1d6e800c552bc,ef32765f095733ce173d907d90884ffafc21d19cc248a58d0af0692ac06c0503,Tests_passed,
2710,coobird/thumbnailator,951d04f352d90f34420a82909c15453fee1b75ff,019a9b4e755472fa88e22ddfd610d84ff63fe8ef54173ab2105c5aa9d459e93a,Tests_passed,
2790,crawlscript/webcollector,878704586e75ac49737d06fc527f49c6b3b8b9b2,a88c62aaa1623d99d5f0f66c76af17083b4f912cff0ed1d4e5ff07e1b2d7a594,Tests_passed,
3213,deathmarine/luyten,64af8d1df1d2cab029779142726fbcd8bc482956,b80ce06855f1d463713fa70eb653fab24ca0afa1bb70c9f0322d9a97cc3b6eb3,Tests_passed,
3227,deemopen/zkui,1b3e7c133ab76a26c9c5b3653679d77d0cd6358d,da227242290d3f32093a77341357e3051c107dc3d912ad8e3e77394641e28162,Tests_passed,
3433,dius/java-faker,a8b8ff0acc6fcc629d08a3a9952f83be56a9a3c3,20f7cff1ca70fa637de586d14137a910c1901c1f42057b11d71f7af080eebb4d,Tests_passed,
3657,dozermapper/dozer,cae0383555ddfcb397450f9e72b7fe36a777d730,11750e79ba470c1184d57ee9e805b185ce3b362c9d5d96038899c956f5b67161,Tests_passed,
3712,dropwizard/metrics,3fbeb14a2d7a8381c3df3bea2ebf4ad470acc535,b03812a5f0c9d30d080154153e6cd2535011acaa68cfbfdd7ea6f9291b28b0c7,Tests_passed,
3815,eclipse-ee4j/beanvalidation-api,e9fbd8bb0d89ee7860f1f04907090528b82356b3,62668a02c9325fa73074df939a3e97e16c1fcf4454305ffc957e06b779d3808b,Tests_passed,
3900,eirslett/frontend-maven-plugin,4045aaf962f497f1ae7b1661537c2b1437360ded,8cc7dd128ccfbb6e6a2ecb0037a572d6b66fac960452e80bffebdfff7fcc0aa2,Tests_passed,
3928,elasticjob/elastic-job-lite,0b3a6eb993ee1abcb8ae81efa6ccaeb9b494ea5c,3d508c6e61cefd9035d5eecd9b1a981116938e930531a889826aff9e4c4aa0a9,Tests_passed,
3987,elunez/eladmin,2a879115bc5fa364f0ae8042c76edc4be84fa7e7,45ee6ea3f92440194810038eaf7c19066c21ae354d1c5edccd2459ee0feccef9,Tests_passed,
4150,esotericsoftware/kryo,3e7f49919079e20a2186575ec053c8bab2d53153,7cb4da8ea35d8771cfdab1b11f77238b873d08e58f8a352ee06ca051e5194cdd,Tests_passed,
4208,eugenp/tutorials,19478abe6d6e408674b61b8d9c07cc1c6081c6c3,1757cf1187b55329c510c7e41b2de9e692b9d0a3acccb3fd9fc905c1b50e871f,Tests_passed,
4492,fasterxml/jackson-annotations,0cef59c9f0566a1d0f450181956a0389163b7871,d6665a2217a2fe0fb51ccd3299f12b20dadef584db45ed8505a34c6139454c06,Tests_passed,
4493,fasterxml/jackson-core,7c5281fb69cbc9cf8ec16346937744007d624314,66f0dc7aefe4d41f054d9a6dc6f78965360416ab6f847fb6d2d30240c8db40a8,Tests_passed,
4494,fasterxml/jackson-databind,be5656901a09b6e31ae6abbd28d5f353c83bd563,f75202eca12e51caa88e514658de76d112cd1df99d0c914f0dd7f49e9583f248,Tests_passed,
4615,ffay/lanproxy,6d3c97f5a3ca914cdf3fa849b7d615fb2e892def,fce672baac13fc2832a38cf75788eebcead72c3a9ada0f79b19b9d8c2741a91f,Tests_passed,
4959,frohoff/ysoserial,2874a69f6127fd3b3f078461741910423a6b1376,9a3d6288280617689791d7829511153ca826858a74e77cf9cbb9baa94310b137,Tests_passed,
5158,gephi/gephi,a42603fd0cb2c209f96c79481dcc1f7195058822,a2883d219b00fd1bc570a1a6e8f22fb59ea88c650054d855108e452011c3e00c,Tests_passed,
5494,google/error-prone,83d2ed5f370c6b7e9ff17bb926c1ce11576c3835,fb51e0b805c809923aba38fb35f83a0649046220eac129e884da19354484594d,Tests_passed,
5510,google/google-java-format,53390d99b56edae23cfab5adcafd7df28d9984c8,d8ca8d36c376d86d839e2c3045125559073497c72fe5d3bfd1b0fd17e71de2d1,Tests_passed,
5517,google/gson,3b1b361be1202a73b4fe4808c4553e735857e825,5469070026c650a73004a862f11cc8e02bf54891c0fe32257cdcb2df6dbf1b44,Tests_passed,
5521,google/guice,e23d3b4369fbacfd7f077022c4dead4030e15f22,a8ba540163f3bfaa030b4efa883af56fefc587007af6e9cdd389177a08b5810a,Tests_passed,
5532,google/jimfs,a62ae2c2bdc7b28e1e3bc857ae47e01150445aba,32ed7eb3818950f25417a3043f3a6bca8337a670cd03b08a3c134d2c512e269f,Tests_passed,
5583,google/truth,c36962776539775f88865efb0d93cef49012d9a8,ac4a893bc2f75e8fa9bf22b4e20475cd80f979334ba85b17734b2a75fe94f10c,Tests_passed,
5737,graphhopper/graphhopper,0748dcc99cfa063a697f49c7f60f60fbd612e817,aab413f915d57bbb609b27d16940efb79e0c438ab80ec30cdc09157ec497c8c1,Tests_passed,
5945,h2oai/h2o-2,be350f3f2c2fb6f135cc07c41f83fd0e4f521ac1,4c4ebd1af967c0bfdf3142fb7f110cf8f2657d6ce49e83799a37681d7e23018c,Tests_passed,
6109,hdrhistogram/hdrhistogram,3904a74e1896c22dc8a8afb0b29176a04fee7a28,ff8f35792770ea6b06716cb72df635f1e3ed1afcf51bc70d4508b6cbca2e2e82,Tests_passed,
6901,j-easy/easy-rules,d4450831533e47a5c0cb361edb80dad43db228a4,b1fdc50f90f60d3a82f63f0c4785fb242d4f83dfa3dacd73306e4953761d4d61,Tests_passed,
6963,jakewharton/disklrucache,3e016356cfc7e5f9644a7a732fe0223e9742e024,159884670fbacca4a8b9e3ac888fad81a8eeba9c5120accf786614ea11b70194,Tests_passed,
6970,jakewharton/rxrelay,842359253c99177c3293594dbd66f90462d33374,221188816f7e5e04b2e40d5ab735810bba1539a1b8fdabe0175e9e750a9385ae,Tests_passed,
7087,java8/java8inaction,4786c46a24e2f7d0a749d34d585bb2c1d9f64c53,5fdba5bf255aeb8d1972b315ebe5bf6f39ec10b661e6754c4b00fbd25b546994,Tests_passed,
7097,javaparser/javaparser,83b5e5c8c65f5fb549f435e9314011cd6373457e,d03a32ffa94849eda535b96a8630a74ce19b957252e277b251ea0ec8665cbe63,Tests_passed,
7448,jodaorg/joda-time,1b5c2a0899c9fcf705d0892946deab00c4619a97,d1bc631d459dc1e53293f149bdb4481bc3b86ee2637f2cbbfff2b9b5ac8228bf,Tests_passed,
7457,joel-costigliola/assertj-core,e1fe38739223fc89ab37068bb4989d7b250481e7,14c6e45ded3f4e4d5efab9ff1d6975737ea89bf91f4abb99d3e032172b51826c,Tests_passed,
7799,jtablesaw/tablesaw,02d3e524110982ec2b420ff8f9126707d483374f,2f279e8e45c3d7ff7a66e6c82f0d184338d358464d617f8ad3b1c64d75ee3567,Tests_passed,
7850,junit-team/junit4,16228f3ccea3c6f1170488e0e268f3601d130f75,3e9588a301134286d3f09e4de1cdb2a92f147b7e6f2cabe4c0922b621306a31c,Tests_passed,
7903,jvm-profiling-tools/async-profiler,4e13b8138bc2352cfb9ce551718699e12b196bb7,164ad20268f3a277442d65bf3c26abe689938325a43b1bcb7ae66bb85488996f,Tests_passed,
7919,jwtk/jjwt,917ffbb5d92d70b261159572a4e6bad39fe972e8,b4a24abe73d80815442a5209b3584ddd7a8a7db46f2e879f9e83c6673217bbd7,Tests_passed,
8120,kevin-wayne/algs4,a9c8fcf2d2f6dfa9da404dc6d951c34f245a3aee,3ce6ffad4aadda21469accdc19244affee05d422ae2e8f210b7471ba3fc06282,Tests_passed,
8182,killme2008/aviator,44feeb1e061031d3266f352cf57cb535eb48449d,ff2c61ee798e025aa53fb9a2667d112cd23d2ba3098fab0080b82ee63b13173d,Tests_passed,
8244,knightliao/disconf,872e69c71bc34ad6f3d6bead1bb1f96a5e9cfdb4,e99bd05ede79c8015f802dd373cd4a1ce66f2436bb463fd881184ca8c533454d,Tests_passed,
8293,kong/unirest-java,a28595f6d969a89ca4caa8db5a0739e9f80680f5,5f901252bdb014f8162194d1bc767d7f9f8d50dab82e9014fc18b5db241d2ab5,Tests_passed,
8295,konloch/bytecode-viewer,eda6416609c2f2833b17608f6d58f3cd7c574cd9,65f6a2d0ddf03ad6aa7ac0e97a4bb42bf1184328b61a5c771832836a0727b819,Tests_passed,
8842,liyiorg/weixin-popular,864994ee4841b08535db3ea6062489663adb672f,5444861830de0500c0c7faaa00558c7082e239270025e1b68dd0000d2de43845,Tests_passed,
9499,medcl/elasticsearch-analysis-ik,13c39692387d314fa0b9afda605ec54a3ac2ffe7,e282d50d8be61b6a5c4db8268034128f0293dc4e2e87fe2dc464a3c2d9c9f934,Tests_passed,
9500,medcl/elasticsearch-analysis-pinyin,cb04ca46eae601d2be3a64ba205a86b69b025429,f4efdf0b29c89204161b0043702bc067d1a984146ece5b9171af33c66879971a,Tests_passed,
10017,mojohaus/exec-maven-plugin,4c2980a7e73515be2128976b63a73439e7747648,3a6ef4cbd7606fe4cce4ae2bc61eb75f621b941da164ee5966ba92631ff24555,Tests_passed,
10083,moquette-io/moquette,39b1688cb720876d61aad4d323a99b5cf884692d,b7ed59ef6ed429ec4b3ae493591c1ae904d36b169cf4f9b9149f71cdc66170fd,Tests_passed,
10283,mybatis/mybatis-3,3eca96cc5d09273fd9d02c27e87eb5e3b0bfd5c2,1149ac8b5fedd54a00af7653abd3c66710ab6e3323b846dc39a87197cdaa048a,Tests_passed,
10626,ninjudd/drip,a4bd00df0199e78243847f06cc04ecaea31f8f08,79c9065affa899aa8715cbafd9de6effea75022193d904f80f01e0d8063d2281,Tests_passed,
11012,oldmanpushcart/greys-anatomy,383d17d4dbc2f0cfcf73ce5b1477204b86f1992a,fb8b1268e5b2ba57c21ff0e2bee5bf74419eaa7853021a07ebb75089ff4368e1,Tests_passed,
11166,openrefine/openrefine,a68ba3b26c96ce116c377612c5f1834145b4c002,e6359922b7b07c3c0c462dee0350c5be7c189180fc1615e8129043d22ec1d724,Tests_passed,
11337,pac4j/pac4j,0e252e8483b93c60e4202a25bb159912c4509753,844ef2a401ef67f7d27d83cac514c0e10aae13f6611c544759635e611b011239,Tests_passed,
11507,pedrovgs/algorithms,b04396ba1a8bf094494f9ba514ecbe806fdb9776,3c7ee13d6f66c42510e5edb8cff2102d8c61ed625f7cc871397eaa2b1e529895,Tests_passed,
11531,perwendel/spark,1973e402f5d4c1442ad34a1d38ed0758079f7773,03dc14618ea152b519fb37bc05f82db533ee40f627beefdb7b25e416f2a1e7b6,Tests_passed,
12253,querydsl/querydsl,cd608f04ed7534b1b62a78a28beb141071d149b6,5ec4b79ef9ca3347cba34277f721b4c05e359a0716686f930f42eb978086bdbd,Tests_passed,
12262,quil/quil,583c9016dfd4a0aeebac08c932f5b62ee5b67079,c77e2b213d7cb5d8c07830412c64f67aca1323fd006ab0ab8caad4b846ee2d66,Tests_passed,
12734,rest-assured/rest-assured,718ad4b684656547a4561c1bbbbcfbec409efadf,7c733b3240936680792b33e9bdf8a013aa1118843933733c2c29a2688a4e9ded,Tests_passed,
12904,robotiumtech/robotium,75e567c38f26a6a87dc8bef90b3886a20e28d291,2c4eb4bb5fd5cf530fb9f89ecd11d58e6a4953e4d4e5d5e62cb77bb6e72ac439,Tests_passed,
13052,rubenlagus/telegrambots,f343d17ae4d3b793cb70ed51bd2cc2e05c2a6e4a,76c091ad2cc0b6bc5cf8be141256c70298aa16e8bccdc63900ca92eef28aada1,Tests_passed,
13251,sap/openui5,f830767701890a0db22265639928598d4f824522,1f0e6f07cbc19ea865a419a1538031ffa9ad86951fc92e1169fe0b04e6c196a0,Tests_passed,
13397,seaswalker/spring-analysis,4379cce848af96997a9d7ef91d594aa129be8d71,5809552d55f6fe6fb387ac145ff2fcf7543526658eb2f0abcc244d1ef9d2fff0,Tests_passed,
14351,square/javapoet,d682f2013751d25725349d79b449870d0e77354c,2bda792b152a5ee044889a9b719472eb2bce40e2bc09dcaa045a552a76e40aef,Tests_passed,
14663,swagger-api/swagger-codegen,203902fab2b92c67f1329b6f1bce1ab53742a959,9e29c71897f292a2a102199dd715ef0146b1c4131d48947dddbf0a961ffa67d2,Tests_passed,
14907,tdebatty/java-string-similarity,93240df9aab3ecea98b869c9536aa7ebc555b281,83b87b880a020e51233487c12deec2efa3af80e2b48758b81067717628a07197,Tests_passed,
15108,thealgorithms/java,c527dff92da2046b850ffe9a3b8d0c2aae15d588,16754416e752adf672532100fcdf0b44a183f5ceb4fe22f05f4ebdbc648b2d5e,Tests_passed,
15960,vdurmont/emoji-java,9a90624aa0a50f1785d6a10e1fcb2a296ce468f7,45f2c33ea3fa523ccf994b70a29d02c3e0cdb39745ac982a55890081d88f2600,Tests_passed,
15977,verbalexpressions/javaverbalexpressions,af9201eab97599e78a036a02c6e06c9ffdbd759f,4f3f706fa3e8c81e35de50bcd20863fb43dc6231a74728b0d1ed6e8c99db8757,Tests_passed,
16212,wakaleo/game-of-life,c24bb1ae41bfd5980ce9f0aa8b9a636b920c71fd,69c52295bd1fb976ed55b8e678834e44426dd30c2a874fc70f10082b717a8707,Tests_passed,
17123,zeromq/jeromq,5c88b571c18367f142c3335f878864e6d92e6502,c313373ea3d349ce5baef66c63adcfc483cf593a8911667e6c0f9268ad229e18,Tests_passed,
17268,zxing/zxing,b777f31274f9eed9b388df8edc633e3c1161aa51,5a12f4020250d37f944c173b29b7fca4519b847367e437543da1c294ff56bc08,Tests_passed,
